Model Number,FLUKE A3000FC
Tool Name,A3000FC - B
Logged Data

Start Time,Stop Time,Elapsed Time,Interval,Total Readings
Jun 29 2024 13:01:01,Jun 30 2024 13:56:34,1:00:55:33,00:01:00,1496

Reading,Start Time,Duration,Max Time,Max(A AC),Average(A AC),Min Time,Min (A AC),Stop Time
38,Jun 29 2024 13:38:01,00:01:00,Jun 29 2024 13:38:41,"11.9","10.8",Jun 29 2024 13:38:21,"10.5",Jun 29 2024 13:39:01
39,Jun 29 2024 13:39:01,00:01:00,Jun 29 2024 13:39:57,"12.7","10.8",Jun 29 2024 13:39:11,"10.4",Jun 29 2024 13:40:01
40,Jun 29 2024 13:40:01,00:01:00,Jun 29 2024 13:40:01,"12.2","11.1",Jun 29 2024 13:41:00,"10.5",Jun 29 2024 13:41:01
41,Jun 29 2024 13:41:01,00:01:00,Jun 29 2024 13:41:11,"11.6","10.9",Jun 29 2024 13:41:11,"10.5",Jun 29 2024 13:42:01
42,Jun 29 2024 13:42:01,00:01:00,Jun 29 2024 13:42:41,"11.6","10.7",Jun 29 2024 13:42:26,"10.4",Jun 29 2024 13:43:01
43,Jun 29 2024 13:43:01,00:01:00,Jun 29 2024 13:43:56,"11.8","10.8",Jun 29 2024 13:43:56,"10.3",Jun 29 2024 13:44:01
44,Jun 29 2024 13:44:01,00:01:00,Jun 29 2024 13:44:41,"11.9","10.7",Jun 29 2024 13:44:06,"10.3",Jun 29 2024 13:45:01
45,Jun 29 2024 13:45:01,00:01:00,Jun 29 2024 13:45:26,"11.8","10.7",Jun 29 2024 13:45:02,"10.4",Jun 29 2024 13:46:01
46,Jun 29 2024 13:46:01,00:01:00,Jun 29 2024 13:46:56,"11.6","10.9",Jun 29 2024 13:46:09,"10.5",Jun 29 2024 13:47:01
47,Jun 29 2024 13:47:01,00:01:00,Jun 29 2024 13:47:56,"11.9","10.8",Jun 29 2024 13:47:26,"10.6",Jun 29 2024 13:48:01
48,Jun 29 2024 13:48:01,00:01:00,Jun 29 2024 13:48:26,"11.5","10.8",Jun 29 2024 13:48:56,"10.5",Jun 29 2024 13:49:01
49,Jun 29 2024 13:49:01,00:01:00,Jun 29 2024 13:49:56,"11.9","11",Jun 29 2024 13:49:11,"10.6",Jun 29 2024 13:50:01
50,Jun 29 2024 13:50:01,00:01:00,Jun 29 2024 13:50:15,"21.3","12.1",Jun 29 2024 13:50:01,"10.7",Jun 29 2024 13:51:01
51,Jun 29 2024 13:51:01,00:01:00,Jun 29 2024 13:51:41,"13.3","12",Jun 29 2024 13:51:47,"11.7",Jun 29 2024 13:52:01
52,Jun 29 2024 13:52:01,00:01:00,Jun 29 2024 13:52:11,"12.8","12.1",Jun 29 2024 13:52:38,"11.8",Jun 29 2024 13:53:01
53,Jun 29 2024 13:53:01,00:01:00,Jun 29 2024 13:53:26,"12.8","12.1",Jun 29 2024 13:54:01,"11.8",Jun 29 2024 13:54:01
54,Jun 29 2024 13:54:01,00:01:00,Jun 29 2024 13:54:56,"13.3","12",Jun 29 2024 13:54:59,"11.7",Jun 29 2024 13:55:01
55,Jun 29 2024 13:55:01,00:01:00,Jun 29 2024 13:55:26,"13.2","11.9",Jun 29 2024 13:55:41,"11.6",Jun 29 2024 13:56:01
56,Jun 29 2024 13:56:01,00:01:00,Jun 29 2024 13:56:56,"12.8","12.1",Jun 29 2024 13:56:23,"11.9",Jun 29 2024 13:57:01
57,Jun 29 2024 13:57:01,00:01:00,Jun 29 2024 13:57:41,"12.9","12.1",Jun 29 2024 13:57:34,"11.8",Jun 29 2024 13:58:01
58,Jun 29 2024 13:58:01,00:01:00,Jun 29 2024 13:58:56,"12.8","11.9",Jun 29 2024 13:58:55,"11.6",Jun 29 2024 13:59:01
59,Jun 29 2024 13:59:01,00:01:00,Jun 29 2024 13:59:11,"12.7","11.9",Jun 29 2024 13:59:27,"11.6",Jun 29 2024 14:00:01
60,Jun 29 2024 14:00:01,00:01:00,Jun 29 2024 14:00:41,"13.1","11.9",Jun 29 2024 14:00:41,"11.4",Jun 29 2024 14:01:01
61,Jun 29 2024 14:01:01,00:01:00,Jun 29 2024 14:01:41,"12.7","12",Jun 29 2024 14:02:00,"11.2",Jun 29 2024 14:02:01
62,Jun 29 2024 14:02:01,00:01:00,Jun 29 2024 14:02:26,"12.8","11.4",Jun 29 2024 14:02:26,"11.1",Jun 29 2024 14:03:01
63,Jun 29 2024 14:03:01,00:01:00,Jun 29 2024 14:03:56,"12.5","11.4",Jun 29 2024 14:03:27,"11.1",Jun 29 2024 14:04:01
64,Jun 29 2024 14:04:01,00:01:00,Jun 29 2024 14:04:26,"12.4","11.4",Jun 29 2024 14:04:25,"11.1",Jun 29 2024 14:05:01
65,Jun 29 2024 14:05:01,00:01:00,Jun 29 2024 14:05:26,"12.3","11.5",Jun 29 2024 14:05:47,"11.2",Jun 29 2024 14:06:01
66,Jun 29 2024 14:06:01,00:01:00,Jun 29 2024 14:06:11,"12.7","11.4",Jun 29 2024 14:06:11,"11.1",Jun 29 2024 14:07:01
67,Jun 29 2024 14:07:01,00:01:00,Jun 29 2024 14:07:26,"12.1","11.4",Jun 29 2024 14:07:11,"10.9",Jun 29 2024 14:08:01
68,Jun 29 2024 14:08:01,00:01:00,Jun 29 2024 14:08:11,"11.7","10.7",Jun 29 2024 14:08:10,"10.3",Jun 29 2024 14:09:01
69,Jun 29 2024 14:09:01,00:01:00,Jun 29 2024 14:09:26,"11.3","10.6",Jun 29 2024 14:09:58,"10.4",Jun 29 2024 14:10:01
70,Jun 29 2024 14:10:01,00:01:00,Jun 29 2024 14:10:26,"12","10.5",Jun 29 2024 14:10:11,"10.3",Jun 29 2024 14:11:01
71,Jun 29 2024 14:11:01,00:01:00,Jun 29 2024 14:11:26,"11.4","10.6",Jun 29 2024 14:11:41,"10.3",Jun 29 2024 14:12:01
72,Jun 29 2024 14:12:01,00:01:00,Jun 29 2024 14:12:26,"11.8","10.6",Jun 29 2024 14:12:26,"10.3",Jun 29 2024 14:13:01
73,Jun 29 2024 14:13:01,00:01:00,Jun 29 2024 14:13:26,"11.8","10.7",Jun 29 2024 14:13:26,"10.4",Jun 29 2024 14:14:01
74,Jun 29 2024 14:14:01,00:01:00,Jun 29 2024 14:14:56,"11.8","10.7",Jun 29 2024 14:14:39,"10.3",Jun 29 2024 14:15:01
75,Jun 29 2024 14:15:01,00:01:00,Jun 29 2024 14:15:26,"19.1","10",Jun 29 2024 14:15:13,"9.2",Jun 29 2024 14:16:01
76,Jun 29 2024 14:16:01,00:01:00,Jun 29 2024 14:16:26,"11.2","10",Jun 29 2024 14:16:11,"9.6",Jun 29 2024 14:17:01
77,Jun 29 2024 14:17:01,00:01:00,Jun 29 2024 14:17:41,"11.1","10",Jun 29 2024 14:17:04,"9.8",Jun 29 2024 14:18:01
78,Jun 29 2024 14:18:01,00:01:00,Jun 29 2024 14:18:41,"10.8","10.1",Jun 29 2024 14:18:14,"9.8",Jun 29 2024 14:19:01
79,Jun 29 2024 14:19:01,00:01:00,Jun 29 2024 14:19:41,"11.3","10.1",Jun 29 2024 14:19:56,"9.7",Jun 29 2024 14:20:01
80,Jun 29 2024 14:20:01,00:01:00,Jun 29 2024 14:20:41,"11.5","10.1",Jun 29 2024 14:20:11,"9.8",Jun 29 2024 14:21:01
81,Jun 29 2024 14:21:01,00:01:00,Jun 29 2024 14:21:56,"11.5","10.1",Jun 29 2024 14:21:18,"9.8",Jun 29 2024 14:22:01
82,Jun 29 2024 14:22:01,00:01:00,Jun 29 2024 14:22:56,"10.9","10",Jun 29 2024 14:22:08,"9.8",Jun 29 2024 14:23:01
83,Jun 29 2024 14:23:01,00:01:00,Jun 29 2024 14:23:41,"10.7","10.2",Jun 29 2024 14:23:56,"9.6",Jun 29 2024 14:24:01
84,Jun 29 2024 14:24:01,00:01:00,Jun 29 2024 14:24:57,"11.6","10.1",Jun 29 2024 14:24:05,"9.7",Jun 29 2024 14:25:01
85,Jun 29 2024 14:25:01,00:01:00,Jun 29 2024 14:25:11,"11.7","10.4",Jun 29 2024 14:25:26,"9.6",Jun 29 2024 14:26:01
86,Jun 29 2024 14:26:01,00:01:00,Jun 29 2024 14:26:41,"11.1","10.1",Jun 29 2024 14:26:03,"9.8",Jun 29 2024 14:27:01
87,Jun 29 2024 14:27:01,00:01:00,Jun 29 2024 14:27:11,"11.8","10.1",Jun 29 2024 14:27:58,"9.7",Jun 29 2024 14:28:01
88,Jun 29 2024 14:28:01,00:01:00,Jun 29 2024 14:28:49,"42.5","11.3",Jun 29 2024 14:28:26,"9.7",Jun 29 2024 14:29:01
89,Jun 29 2024 14:29:01,00:01:00,Jun 29 2024 14:29:11,"17.6","14.3",Jun 29 2024 14:29:36,"13",Jun 29 2024 14:30:01
90,Jun 29 2024 14:30:01,00:01:00,Jun 29 2024 14:30:41,"14.4","13.2",Jun 29 2024 14:30:23,"13",Jun 29 2024 14:31:01
91,Jun 29 2024 14:31:01,00:01:00,Jun 29 2024 14:31:11,"13.8","13.2",Jun 29 2024 14:31:15,"12.9",Jun 29 2024 14:32:01
92,Jun 29 2024 14:32:01,00:01:00,Jun 29 2024 14:32:26,"13.9","13.3",Jun 29 2024 14:32:57,"12.9",Jun 29 2024 14:33:01
93,Jun 29 2024 14:33:01,00:01:00,Jun 29 2024 14:34:01,"16.3","13.3",Jun 29 2024 14:33:23,"12.7",Jun 29 2024 14:34:01
94,Jun 29 2024 14:34:01,00:01:00,Jun 29 2024 14:34:03,"16.8","13.2",Jun 29 2024 14:34:36,"12.2",Jun 29 2024 14:35:01
95,Jun 29 2024 14:35:01,00:01:00,Jun 29 2024 14:35:43,"22.8","13.1",Jun 29 2024 14:35:06,"12.3",Jun 29 2024 14:36:01
96,Jun 29 2024 14:36:01,00:01:00,Jun 29 2024 14:36:34,"18.2","15",Jun 29 2024 14:36:47,"13.5",Jun 29 2024 14:37:01
97,Jun 29 2024 14:37:01,00:01:00,Jun 29 2024 14:37:41,"14.5","13.9",Jun 29 2024 14:37:04,"13.6",Jun 29 2024 14:38:01
